teamName,season,sport,headCoach,date,opponent,result,attendance
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/04/2019, Harvard,W 3-0 ,"
        688
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/05/2019, Dartmouth,W 3-1 ,"
        702
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/12/2019, Penn,W 3-0 ,"
        331
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/13/2019, Princeton,L 0-3 ,"
        276
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/18/2019, Columbia,W 3-0 ,"
        521
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/19/2019, Cornell,W 3-1 ,"
        316
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/26/2019, Brown,W 3-0 ,"
        212
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/01/2019, Dartmouth,W 3-0 ,"
        158
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/02/2019, Harvard,L 1-3 ,"
        375
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/08/2019, Cornell,W 3-1 ,"
        298
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/09/2019, Columbia,W 3-0 ,"
        194
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/16/2019, Princeton,W 3-2 ,"
        816
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/22/2019, Princeton,L 1-3 ,"
        737
      "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
