teamName,season,sport,headCoach,date,opponent,result,attendance
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/03/2019,W 6-0 ,W 6-0 ,0
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/06/2019, South Dakota,W 2-1 ,149
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/13/2019, Kansas City,L 0-4 ,267
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/15/2019, North Dakota St.,W 3-0 ,239
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/20/2019, South Dakota St.,L 0-2 ,0
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/23/2019, Western Ill.,L 2-3 ,103
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,09/28/2019, Illinois St.,L 0-5 ,0
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,10/05/2019, Loyola Chicago,L 0-3 ,231
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,10/12/2019, Indiana St.,W 2-1 (1 OT),0
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,10/16/2019, Drake,L 0-2 ,778
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,10/19/2019, Missouri St.,L 1-2 ,172
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,10/26/2019, Evansville,L 0-1 ,0
UNI Panthers,2019-20,Women's Soccer,Bruce Erickson,11/01/2019, Valparaiso,L 0-3 ,88
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,08/22/2019, CSUN,L 0-1 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,08/30/2019, California Baptist,W 2-0 ,320
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/01/2019, CSU Bakersfield,W 2-1 ,207
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/05/2019, Duke,L 0-3 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/08/2019, North Carolina,L 0-8 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/15/2019, Texas A&M,L 0-4 ,"1,757"
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/20/2019, Northern Ariz.,W 2-1 ,902
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/22/2019, Utah Valley,L 0-3 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/27/2019, Utah St.,L 0-1 (2 OT),703
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,09/29/2019, Boise St.,L 0-2 ,550
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/04/2019, San Diego St.,L 0-1 ,329
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/06/2019, New Mexico,L 2-3 ,521
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/11/2019, Air Force,L 1-2 (1 OT),0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/13/2019, Colorado Col.,W 2-0 ,822
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/17/2019, San Jose St.,T 1-1 (2 OT),239
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/20/2019, Fresno St.,L 1-2 ,"1,320"
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/25/2019, Wyoming,L 2-3 ,"1,271"
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,10/27/2019, Colorado St.,L 2-5 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,11/01/2019, Nevada,W 2-0 ,0
UNLV Lady Rebels,2019-20,Women's Soccer,Chris Shaw,11/03/2019, Southern Utah,W 1-0 ,501
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,08/25/2019, American,L 1-2 ,269
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,08/28/2019, ETSU,T 0-0 (2 OT),372
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/01/2019, South Carolina St.,,
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/05/2019, Mars Hill,W 6-1 ,0
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/10/2019, The Citadel,T 1-1 (2 OT),162
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/15/2019, FIU,L 0-3 ,215
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/18/2019, Wofford,W 2-1 ,300
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/21/2019, Hampton,T 0-0 (2 OT),225
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/25/2019, UNC Asheville,L 0-1 (2 OT),0
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,09/28/2019, High Point,L 0-3 ,315
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/02/2019, Presbyterian,L 0-2 ,108
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/05/2019, Campbell,L 0-5 ,245
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/09/2019, Radford,L 2-5 ,215
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/12/2019, Longwood,L 0-3 ,115
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/16/2019, Charleston So.,L 0-3 ,150
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/19/2019, Gardner-Webb,L 2-3 ,205
USC Upstate Spartans,2019-20,Women's Soccer,Tyson John,10/26/2019, Winthrop,L 0-3 ,375
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,08/22/2019, Arkansas St.,W 3-1 ,113
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,08/25/2019, Little Rock,T 0-0 (3 OT),0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,08/29/2019, Evansville,T 1-1 (2 OT),264
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/01/2019, Western Caro.,L 4-5 ,0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/05/2019, Mississippi St.,L 0-3 ,416
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/08/2019, Middle Tenn.,W 2-1 ,0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/12/2019, Indiana,L 1-2 ,379
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/15/2019, Wright St.,T 2-2 (2 OT),396
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/20/2019, Eastern Ill.,T 0-0 (2 OT),112
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/22/2019, Belmont,W 1-0 ,0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/27/2019, Murray St.,L 1-5 ,252
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,09/29/2019, Austin Peay,W 2-0 ,0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/06/2019, SIUE,L 0-3 ,0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/11/2019, Morehead St.,W 2-1 ,216
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/13/2019, Eastern Ky.,W 4-1 ,320
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/20/2019, Southeast Mo. St.,T 2-2 (2 OT),0
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/25/2019, Tennessee Tech,W 2-1 ,122
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,10/27/2019, Jacksonville St.,W 4-0 ,271
UT Martin Skyhawks,2019-20,Women's Soccer,Phil McNamara,11/03/2019,#6 Belmont,L 2-3 ,213
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,08/22/2019, Wyoming,T 2-2 (2 OT),418
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,08/25/2019, Abilene Christian,L 1-2 ,214
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,08/29/2019, Grand Canyon,W 2-1 ,0
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/01/2019, UTRGV,T 0-0 (2 OT),168
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/06/2019, Texas St.,W 2-1 ,302
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/08/2019, Southern Utah,W 2-0 ,129
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/12/2019, New Mexico St.,W 2-1 (2 OT),425
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/14/2019, Utah Valley,L 1-2 ,"1,163"
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/17/2019,W 2-0 ,W 2-0 ,466
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/22/2019, FIU,W 3-1 ,218
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,09/26/2019, Marshall,W 3-2 ,283
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/03/2019, UAB,T 0-0 (2 OT),209
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/06/2019, Middle Tenn.,L 1-6 ,350
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/10/2019, Western Ky.,L 0-1 ,300
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/17/2019, Louisiana Tech,W 2-0 ,329
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/20/2019, Southern Miss.,L 1-3 ,166
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/24/2019, Charlotte,L 0-1 ,670
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,10/27/2019, Old Dominion,W 2-0 ,318
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,11/01/2019, UTSA,W 1-0 ,366
UTEP Miners,2019-20,Women's Soccer,Kathryn  Balogun,11/06/2019,#2 North Texas,L 1-3 ,341
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,08/22/2019, Miami (FL),L 0-4 ,0
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,08/24/2019, Alabama St.,W 6-0 ,0
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,08/30/2019, A&M-Corpus Christi,W 1-0 ,0
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/01/2019, UTEP,T 0-0 (2 OT),168
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/06/2019, Southern Utah,W 1-0 ,190
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/15/2019, A&M-Corpus Christi,L 0-1 ,370
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/20/2019, Grambling,W 1-0 ,205
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/22/2019, Texas A&M,L 0-5 ,"1,979"
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/26/2019, Texas Lutheran,W 5-0 ,176
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,09/29/2019, Southern Ill.,W 4-1 ,0
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/04/2019, Kansas City,T 1-1 (2 OT),173
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/06/2019, Grand Canyon,W 1-0 ,150
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/12/2019, Chicago St.,W 2-0 ,192
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/18/2019, California Baptist,L 0-3 ,187
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/20/2019, CSU Bakersfield,W 1-0 ,110
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/24/2019, Utah Valley,L 1-3 ,456
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,10/26/2019, Seattle U,L 1-2 ,375
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,11/02/2019, New Mexico St.,L 1-3 ,179
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,11/06/2019,#4 CSU Bakersfield,T 1-1 (3 OT),350
UTRGV Vaqueros,2019-20,Women's Soccer,Glad Bugariu,11/08/2019,#1 Seattle U,L 0-1 ,572
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,08/22/2019, Louisiana,W 3-0 ,55
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,08/25/2019, Oklahoma St.,,
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,08/30/2019, Texas St.,L 0-1 ,422
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/01/2019, Grand Canyon,W 4-0 ,486
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/06/2019, Cleveland St.,W 3-0 ,276
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/08/2019, South Fla.,L 0-5 ,210
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/13/2019, Oral Roberts,T 1-1 (2 OT),292
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/15/2019, Houston Baptist,W 1-0 ,213
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/22/2019, Middle Tenn.,L 3-4 (1 OT),497
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,09/29/2019, Rice,L 0-1 ,360
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/06/2019, North Texas,L 0-1 ,475
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/11/2019, Fla. Atlantic,L 1-2 ,212
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/13/2019, Marshall,W 3-2 (1 OT),414
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/17/2019, Southern Miss.,W 2-1 ,857
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/20/2019, Louisiana Tech,W 1-0 ,323
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/24/2019, Old Dominion,L 0-3 ,325
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,10/27/2019, Charlotte,W 2-1 ,525
UTSA Roadrunners,2019-20,Women's Soccer,Derek Pittman,11/01/2019, UTEP,L 0-1 ,366
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,08/23/2019, South Dakota St.,L 0-1 ,343
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,08/25/2019, South Dakota,W 1-0 ,236
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,08/30/2019, Utah,L 0-3 ,"1,562"
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/04/2019, Weber St.,W 2-1 (2 OT),734
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/08/2019, Marquette,W 5-1 ,378
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/13/2019, Illinois St.,L 1-2 ,290
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/15/2019, UIC,W 1-0 ,189
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/22/2019, Idaho St.,W 3-0 ,626
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/27/2019, UNLV,W 1-0 (2 OT),703
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,09/29/2019, Nevada,L 0-1 (2 OT),134
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/03/2019, Fresno St.,T 1-1 (2 OT),865
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/06/2019, San Jose St.,L 0-1 ,544
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/11/2019, New Mexico,L 1-2 ,425
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/13/2019, San Diego St.,L 0-1 ,500
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/18/2019, Colorado St.,L 0-1 ,269
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/20/2019, Wyoming,L 1-2 ,149
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/25/2019, Air Force,L 0-1 ,526
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,10/27/2019, Colorado Col.,W 3-0 ,268
Utah St. Aggies,2019-20,Women's Soccer,Heather Cairns,11/01/2019, Boise St.,W 1-0 ,502
Utah Utes,2019-20,Women's Soccer,Rich Manning,08/22/2019, Clemson,L 0-2 ,0
Utah Utes,2019-20,Women's Soccer,Rich Manning,08/25/2019, Alabama,L 0-3 ,280
Utah Utes,2019-20,Women's Soccer,Rich Manning,08/30/2019, Utah St.,W 3-0 ,"1,562"
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/01/2019, Cal Poly,W 1-0 ,"1,133"
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/06/2019, BYU,L 0-2 ,"5,036"
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/08/2019, Boise St.,W 1-0 (2 OT),539
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/13/2019, Nevada,W 2-0 ,0
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/20/2019, Butler,T 0-0 (2 OT),"1,215"
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/22/2019, San Diego,W 1-0 ,"1,115"
Utah Utes,2019-20,Women's Soccer,Rich Manning,09/27/2019, Arizona St.,T 2-2 (2 OT),265
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/03/2019, Oregon St.,T 1-1 (2 OT),"1,315"
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/06/2019, Oregon,W 2-0 ,"1,174"
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/10/2019, Southern California,L 1-2 (1 OT),234
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/13/2019, UCLA,L 0-2 ,"1,653"
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/18/2019, Arizona,T 0-0 (2 OT),"1,163"
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/24/2019, California,L 1-2 ,0
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/27/2019, Stanford,L 0-4 ,875
Utah Utes,2019-20,Women's Soccer,Rich Manning,10/31/2019, Washington St.,L 1-4 ,482
Utah Utes,2019-20,Women's Soccer,Rich Manning,11/03/2019, Washington,W 1-0 ,"1,185"
Utah Utes,2019-20,Women's Soccer,Rich Manning,11/07/2019, Colorado,W 1-0 ,"1,375"
Utah Utes,2019-20,Women's Soccer,Rich Manning,11/15/2019, Duke,L 0-4 ,190
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,08/22/2019, Michigan St.,L 1-3 ,531
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,08/25/2019, Michigan,L 1-2 (1 OT),542
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,08/30/2019, Cal Poly,W 2-0 ,"2,993"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/02/2019, Cal St. Fullerton,W 2-1 ,"1,012"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/06/2019, San Jose St.,L 0-1 (1 OT),412
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/08/2019, Santa Clara,L 0-5 ,485
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/14/2019, UTEP,W 2-1 ,"1,163"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/16/2019, BYU,L 0-1 ,"3,952"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/20/2019, San Diego,T 1-1 (2 OT),"1,545"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/22/2019, UNLV,W 3-0 ,0
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,09/28/2019, North Dakota St.,W 3-2 ,"1,194"
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/06/2019, CSU Bakersfield,L 2-3 ,0
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/10/2019, New Mexico St.,W 1-0 ,388
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/12/2019, California Baptist,W 2-0 ,486
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/18/2019, Chicago St.,W 10-0 ,155
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/20/2019, Kansas City,L 0-1 ,0
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/24/2019, UTRGV,W 3-1 ,456
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,10/26/2019, Grand Canyon,W 1-0 ,0
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,11/02/2019, Seattle U,L 2-3 (2 OT),623
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,11/08/2019,#3 Kansas City,W 3-1 ,572
Utah Valley Wolverines,2019-20,Women's Soccer,Chris Lemay,11/10/2019,#1 Seattle U,L 1-2 (1 OT),636
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,08/22/2019, High Point,W 1-0 ,0
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,08/25/2019, Longwood,W 5-1 ,224
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,08/29/2019, Loyola Maryland,W 4-0 ,0
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/01/2019, UNCW,W 2-1 ,462
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/05/2019, Wake Forest,T 0-0 (2 OT),479
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/08/2019, Old Dominion,L 3-4 ,740
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/12/2019, Pittsburgh,W 1-0 ,268
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/15/2019, Saint Francis (PA),W 5-1 ,434
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/22/2019, Duquesne,L 1-2 ,212
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/26/2019, Saint Louis,L 0-4 ,509
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,09/29/2019, George Mason,W 5-1 ,476
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/03/2019, La Salle,L 0-1 ,102
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/06/2019, Fordham,L 2-3 (1 OT),754
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/13/2019, George Washington,T 2-2 (2 OT),432
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/17/2019, Richmond,L 0-1 ,316
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/20/2019, Dayton,W 1-0 ,328
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/24/2019, Davidson,T 1-1 (2 OT),278
VCU Rams,2019-20,Women's Soccer,Lindsey Martin,10/27/2019, Massachusetts,W 2-1 ,394
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,08/22/2019, Hampton,L 0-1 ,600
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,08/29/2019, Delaware St.,W 4-0 ,128
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,08/31/2019, American,L 0-2 ,325
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/05/2019, Radford,L 0-1 ,95
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/08/2019, East Carolina,L 0-3 ,94
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/13/2019, Loyola Maryland,L 0-2 ,337
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/15/2019, Howard,L 0-1 ,291
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/19/2019, Davidson,T 0-0 (2 OT),231
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/22/2019, Liberty,L 0-3 ,0
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/27/2019, Mercer,L 0-2 ,132
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,09/29/2019, The Citadel,L 0-2 ,238
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/04/2019, Wofford,L 1-2 ,182
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/06/2019, Furman,L 0-2 ,287
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/11/2019, UNC Greensboro,L 0-2 ,342
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/18/2019, Chattanooga,L 0-1 ,356
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/20/2019, Samford,L 0-5 ,205
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/25/2019, ETSU,T 0-0 (2 OT),238
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/27/2019, Western Caro.,L 0-1 ,173
VMI ,2019-20,Women's Soccer,Chris Haught-Thompson,10/30/2019,#7 Wofford,L 1-2 ,104
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,08/23/2019, Green Bay,L 0-1 ,414
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,08/25/2019, Oakland,L 0-1 ,197
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,08/30/2019, Bowling Green,L 0-2 ,392
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/01/2019, Wright St.,T 2-2 (2 OT),171
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/06/2019, St. Bonaventure,L 0-1 ,356
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/08/2019, Canisius,L 0-1 (2 OT),167
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/13/2019, Purdue Fort Wayne,L 0-2 ,0
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/15/2019, IUPUI,L 1-3 ,194
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/20/2019, Colorado St.,L 0-3 ,265
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/23/2019, UIC,L 0-3 ,272
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,09/28/2019, Missouri St.,L 1-2 ,185
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,10/05/2019, Indiana St.,L 2-3 ,250
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,10/12/2019, Illinois St.,L 0-1 ,167
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,10/16/2019, Loyola Chicago,L 0-2 ,203
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,10/20/2019, Evansville,W 1-0 ,194
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,10/26/2019, Drake,L 0-3 ,644
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,11/01/2019, UNI,W 3-0 ,88
Valparaiso Crusaders,2019-20,Women's Soccer,John Marovich,11/04/2019,#4 Drake,L 0-1 ,537
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,08/22/2019, Georgia St.,W 7-0 ,0
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,08/25/2019, Evansville,W 4-0 ,0
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,08/30/2019, UC Irvine,W 1-0 ,519
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,09/01/2019, Pepperdine,W 1-0 ,0
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,09/06/2019, Colgate,W 2-0 ,510
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,09/08/2019, Marshall,W 3-2 (2 OT),0
Vanderbilt Commodores,2019-20,Women's Soccer,Darren Ambrose,09/12/2019, Chattanooga,W 3-0 ,600
