year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,22,"Sollom, Kate",Fr,,7,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,22,"Sollom, Kate",Fr,,7,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,13,"Regal, Grace",Sr,F,17,,17,2,,4.00,18,1,,,,,,,0,,,,,,,,,,1,1,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,13,"Regal, Grace",Sr,F,17,,17,2,,4.00,18,1,,,,,,,0,,,,,,,,,,1,1,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,4,"Webber, Meredith",Jr,M,17,,,,,0.00,11,5,,,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,4,"Webber, Meredith",Jr,M,17,,,,,0.00,11,5,,,,,,,0,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,11,"Jacobs, Abby",So,,4,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,11,"Jacobs, Abby",So,,4,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,30,"Avelino, Ashley",Fr,M,17,,17,,1.00,1.00,3,,,1,,,,,0,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,30,"Avelino, Ashley",Fr,M,17,,17,,1.00,1.00,3,,,1,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,10,"Saad, Nikki",Sr,M,17,,,1,,2.00,18,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,10,"Saad, Nikki",Sr,M,17,,,1,,2.00,18,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,20,"Crevani, Courtney",Fr,,3,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,20,"Crevani, Courtney",Fr,,3,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,18,"Fiorella, Caroline",So,F,13,,13,,1.00,1.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,18,"Fiorella, Caroline",So,F,13,,13,,1.00,1.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,6,"Koutsos, Caroline",Fr,D,15,,,,1.00,1.00,3,5,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,6,"Koutsos, Caroline",Fr,D,15,,,,1.00,1.00,3,5,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,5,"Bell, Lily",So,,1,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UNC Asheville Bulldogs,Clifton Bush,Women's Soccer,5,"Bell, Lily",So,,1,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,14,"Hita, Quiqui",Jr,F,12,,12,,,0.00,5,,,1,,,,,0,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,14,"Hita, Quiqui",Jr,F,12,,12,,,0.00,5,,,1,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,0,"Wilkins, Jade",Jr,GK,14,,,,,0.00,,,,,,4,4,1159:34,29,2.251,86,0.748,,,1,11,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,0,"Wilkins, Jade",Jr,GK,14,,,,,0.00,,,,,,4,4,1159:34,29,2.251,86,0.748,,,1,11,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,4,"Ricks, CiCi",Fr,F,12,,12,,,0.00,1,1,,,,,,,0,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,4,"Ricks, CiCi",Fr,F,12,,12,,,0.00,1,1,,,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,11,"Paolillo, Elysia",Jr,F,13,,,,,0.00,7,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,11,"Paolillo, Elysia",Jr,F,13,,,,,0.00,7,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,22,"Mostarac, Dunja",So,D,17,,17,1,,2.00,7,11,,1,,,,,,,,,,,,,,,,,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,22,"Mostarac, Dunja",So,D,17,,17,1,,2.00,7,11,,1,,,,,,,,,,,,,,,,,1
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,23,"Brown, Julia",Jr,F,8,,8,1,,2.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,23,"Brown, Julia",Jr,F,8,,8,1,,2.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,23,"Connor, Mega",Fr,M,12,,,,,0.00,3,3,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,23,"Connor, Mega",Fr,M,12,,,,,0.00,3,3,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,4,"Nelson, Emily",So,M,17,,17,6,1.00,13.00,28,11,,,,,,,0,,,,,,,,,,2,2,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,4,"Nelson, Emily",So,M,17,,17,6,1.00,13.00,28,11,,,,,,,0,,,,,,,,,,2,2,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,21,"Dunham, Seraiah",Fr,F,6,,6,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,21,"Dunham, Seraiah",Fr,F,6,,6,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,31,"Argubie, Amberlina",So,M,9,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,31,"Argubie, Amberlina",So,M,9,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,9,"Morrier, Veronica",Jr,M,17,,17,1,,2.00,7,17,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,9,"Morrier, Veronica",Jr,M,17,,17,1,,2.00,7,17,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,8,"Bido, Ashley",Fr,D,5,,5,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,8,"Bido, Ashley",Fr,D,5,,5,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,7,"Conner, Rayve",Sr,M,8,,,,,0.00,,1,,1,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,7,"Conner, Rayve",Sr,M,8,,,,,0.00,,1,,1,,,,,0,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,28,"Drezek, Abigail",Jr,D,17,,17,,,0.00,4,3,,1,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,28,"Drezek, Abigail",Jr,D,17,,17,,,0.00,4,3,,1,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,00,"Tyler-Cooper, Aiyanah",Jr,GK,4,,4,,,0.00,,,,,,2,2,338:30,7,1.861,21,0.750,,,,1,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,00,"Tyler-Cooper, Aiyanah",Jr,GK,4,,4,,,0.00,,,,,,2,2,338:30,7,1.861,21,0.750,,,,1,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,1,"Minnick, Alyssa",Fr,GK,6,,,,,0.00,,,,,,2,1,433:15,3,0.623,18,0.857,1,1,1,1,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,1,"Minnick, Alyssa",Fr,GK,6,,,,,0.00,,,,,,2,1,433:15,3,0.623,18,0.857,1,1,1,1,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,8,"Birgisdottir, Kristi",Jr,M,17,,17,,4.00,4.00,16,13,,1,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,8,"Birgisdottir, Kristi",Jr,M,17,,17,,4.00,4.00,16,13,,1,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,0,"Mitchell, Kelley",So,GK,3,,3,,,0.00,,,,,,3,,62:06,0,0.000,,,,1,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,0,"Mitchell, Kelley",So,GK,3,,3,,,0.00,,,,,,3,,62:06,0,0.000,,,,1,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,8,"Moormann, Kathry",Jr,D,6,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,8,"Moormann, Kathry",Jr,D,6,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,15,"Fabian, Lily",So,M,17,,17,2,2.00,6.00,37,30,,3,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,15,"Fabian, Lily",So,M,17,,17,2,2.00,6.00,37,30,,3,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,2,"Pearce, Isabel",Jr,F,3,,3,,1.00,1.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,2,"Pearce, Isabel",Jr,F,3,,3,,1.00,1.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,12,"Kilbride, Teal",Fr,D,4,,,,,0.00,,,,1,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,12,"Kilbride, Teal",Fr,D,4,,,,,0.00,,,,1,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,16,"Coleman, Courtney",Jr,M,16,,16,1,1.00,3.00,27,5,,2,,,,,0,,,,,,,,,,1,1,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,16,"Coleman, Courtney",Jr,M,16,,16,1,1.00,3.00,27,5,,2,,,,,0,,,,,,,,,,1,1,1
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,19,"Duty, Ashto",Sr,D,2,,2,,,0.00,,,,,,,,,0,,,,,,,,,,,,
2019-20,UNC Greensboro Spartans,Michael Coll,Women's Soccer,19,"Duty, Ashto",Sr,D,2,,2,,,0.00,,,,,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,22,"Culp, Courtney",Sr,D,3,,,,,0.00,,,,,,,,,0,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,22,"Culp, Courtney",Sr,D,3,,,,,0.00,,,,,,,,,0,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,13,"Edson, Anna",Fr,M,16,,16,,1.00,1.00,7,8,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,13,"Edson, Anna",Fr,M,16,,16,,1.00,1.00,7,8,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,14,"Hopkins, Jessica",Sr,M,3,,,,,0.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,UMBC Retrievers,Vanessa Mann,Women's Soccer,14,"Hopkins, Jessica",Sr,M,3,,,,,0.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,18,"DuBose, Hailey",So,D,16,,16,1,,2.00,13,15,,1,,,,,,,,,,,,,,,,,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,18,"DuBose, Hailey",So,D,16,,16,1,,2.00,13,15,,1,,,,,,,,,,,,,,,,,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,20,"Blaya, Cristina",Fr,M,15,,15,,2.00,2.00,16,9,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,20,"Blaya, Cristina",Fr,M,15,,15,,2.00,2.00,16,9,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,23,"Rabbito, Giulia",Jr,M,14,,14,1,,2.00,2,8,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,23,"Rabbito, Giulia",Jr,M,14,,14,1,,2.00,2,8,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,21,"Kemp, Stephanie",Fr,F,14,,14,3,,6.00,8,5,,,,,,,0,,,,,,,,,,1,1,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,21,"Kemp, Stephanie",Fr,F,14,,14,3,,6.00,8,5,,,,,,,0,,,,,,,,,,1,1,1
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,3,"LeBlanc, Alliso",Fr,D,14,,14,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,3,"LeBlanc, Alliso",Fr,D,14,,14,,,0.00,,2,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,12,"Fleet, Karah",So,F,13,,13,2,2.00,6.00,13,7,,2,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,12,"Fleet, Karah",So,F,13,,13,2,2.00,6.00,13,7,,2,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,11,"Anderson, Halle",So,D,13,,13,,1.00,1.00,2,7,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,11,"Anderson, Halle",So,D,13,,13,,1.00,1.00,2,7,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,6,"Bartsch, Kristina",So,M,12,,12,1,,2.00,16,6,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,6,"Bartsch, Kristina",So,M,12,,12,1,,2.00,16,6,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,35,"Tijm, Annerens",N/A,GK,10,,10,,,0.00,,1,,,,1,1,964:29,16,1.493,41,0.719,2,,3,6,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,35,"Tijm, Annerens",N/A,GK,10,,10,,,0.00,,1,,,,1,1,964:29,16,1.493,41,0.719,2,,3,6,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,17,"Gunnarsdottir, Hildur",Fr,F,7,,7,,,0.00,6,2,,1,,,,,,,,,,,,,,,,1,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,17,"Gunnarsdottir, Hildur",Fr,F,7,,7,,,0.00,6,2,,1,,,,,,,,,,,,,,,,1,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,34,"Huff, Laure",Jr,GK,6,,6,,,0.00,,,,,,3,3,470:00,15,2.872,23,0.605,,,,5,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,34,"Huff, Laure",Jr,GK,6,,6,,,0.00,,,,,,3,3,470:00,15,2.872,23,0.605,,,,5,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,24,"Chase, Rachel",Jr,M,6,,6,,,0.00,,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,24,"Chase, Rachel",Jr,M,6,,6,,,0.00,,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,14,"Weilding, Gabrielle",Fr,F,5,,5,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,14,"Weilding, Gabrielle",Fr,F,5,,5,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,7,"Asdigha, Mitra",Fr,D,3,,3,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,7,"Asdigha, Mitra",Fr,D,3,,3,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,27,"Tato, Katherine",So,M,3,,3,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,27,"Tato, Katherine",So,M,3,,3,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,0,"O'Shaughnessy, Farrell",So,GK,3,,3,,,0.00,,,,,,1,,90:00,3,3.000,7,0.700,,,,,,,,,
2019-20,UMass Lowell River Hawks,Mira Novak,Women's Soccer,0,"O'Shaughnessy, Farrell",So,GK,3,,3,,,0.00,,,,,,1,,90:00,3,3.000,7,0.700,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,4,"Zerazion, Rahel",Jr,MF,18,,,1,1.00,3.00,11,10,,3,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,4,"Zerazion, Rahel",Jr,MF,18,,,1,1.00,3.00,11,10,,3,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,9,"Ciaramella, Camry",So,F,18,,,2,,4.00,24,4,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,9,"Ciaramella, Camry",So,F,18,,,2,,4.00,24,4,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,18,"Taft, Melissa",Fr,M,18,,,3,,6.00,8,6,,1,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,18,"Taft, Melissa",Fr,M,18,,,3,,6.00,8,6,,1,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,6,"Trudeau, Alexiss",Sr,D,18,,,,,0.00,6,13,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,6,"Trudeau, Alexiss",Sr,D,18,,,,,0.00,6,13,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,17,"Altieri, Taylor",Jr,F,18,,,3,,6.00,22,4,,4,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,17,"Altieri, Taylor",Jr,F,18,,,3,,6.00,22,4,,4,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,3,"Cherry, Alexis",Jr,D,17,,,,1.00,1.00,2,9,,3,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,3,"Cherry, Alexis",Jr,D,17,,,,1.00,1.00,2,9,,3,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,12,"Garza, Madi",Fr,M,17,,,1,,2.00,10,4,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,12,"Garza, Madi",Fr,M,17,,,1,,2.00,10,4,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,22,"Altieri, Victoria",Fr,D,17,,,,1.00,1.00,9,10,,5,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,22,"Altieri, Victoria",Fr,D,17,,,,1.00,1.00,9,10,,5,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,7,"Rizqi, McKenzie",Fr,F,17,,,1,2.00,4.00,8,7,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,7,"Rizqi, McKenzie",Fr,F,17,,,1,2.00,4.00,8,7,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,5,"Botkin, Bailey",Jr,D,16,,,,1.00,1.00,2,4,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,5,"Botkin, Bailey",Jr,D,16,,,,1.00,1.00,2,4,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,11,"Mievis, Annelore",So,D,16,,,,,0.00,2,6,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,11,"Mievis, Annelore",So,D,16,,,,,0.00,2,6,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,2,"Thomas, Khyjia",Fr,F,15,,,2,,4.00,12,9,,3,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,2,"Thomas, Khyjia",Fr,F,15,,,2,,4.00,12,9,,3,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,24,"Castillo, Amanda",Sr,M,15,,,,,0.00,11,4,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,24,"Castillo, Amanda",Sr,M,15,,,,,0.00,11,4,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,13,"DeLaMater, Blake",So,M,14,,,,,0.00,2,2,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,13,"DeLaMater, Blake",So,M,14,,,,,0.00,2,2,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,15,"Schellekens, Liv",Jr,D,14,,,,,0.00,3,2,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,15,"Schellekens, Liv",Jr,D,14,,,,,0.00,3,2,,,,,,,0,,,,,,,,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,18,"Santibanez, Jackie",Fr,,19,,,2,,4.00,17,14,,1,,,,,0,,,,,,,,,,,,1
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,18,"Santibanez, Jackie",Fr,,19,,,2,,4.00,17,14,,1,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,21,"Fleijsman, Valerie",So,F,13,,,,,0.00,7,4,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,21,"Fleijsman, Valerie",So,F,13,,,,,0.00,7,4,,,,,,,0,,,,,,,,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,20,"Kavanaugh, Emily",So,,19,,,3,2.00,8.00,31,6,,,,,,,0,,,,,,,,,,,,2
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,20,"Kavanaugh, Emily",So,,19,,,3,2.00,8.00,31,6,,,,,,,0,,,,,,,,,,,,2
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,20,"Bell, Mackenzie",So,F,12,,,1,,2.00,4,3,,,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,20,"Bell, Mackenzie",So,F,12,,,1,,2.00,4,3,,,,,,,0,,,,,,,,,,,,1
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,17,"Bowman, Mega",So,,19,,,4,1.00,9.00,24,21,,2,,,,,0,,,,,,,,,,,,1
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,17,"Bowman, Mega",So,,19,,,4,1.00,9.00,24,21,,2,,,,,0,,,,,,,,,,,,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,10,"De Ruijter, Jascha",Fr,M,12,,,,,0.00,1,1,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,10,"De Ruijter, Jascha",Fr,M,12,,,,,0.00,1,1,,,,,,,0,,,,,,,,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,12,"Valentine, Emily",Sr,,19,,,4,5.00,13.00,29,12,,1,,,,,0,,,,,,,,,,2,2,1
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,12,"Valentine, Emily",Sr,,19,,,4,5.00,13.00,29,12,,1,,,,,0,,,,,,,,,,2,2,1
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,1,"Kasner, Ria",N/A,gk,12,,,,,0.00,,,,,,3,3,1018:34,30,2.651,72,0.706,2,,2,9,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,1,"Kasner, Ria",N/A,gk,12,,,,,0.00,,,,,,3,3,1018:34,30,2.651,72,0.706,2,,2,9,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,19,"Douglas, Tamae",Sr,,19,,,,2.00,2.00,23,9,,,,,,,0,,,,,,,,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,19,"Douglas, Tamae",Sr,,19,,,,2.00,2.00,23,9,,,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,26,"Wiest, Cassidy",So,M,10,,,,,0.00,3,3,,1,,,,,0,,,,,,,,,,,,
2019-20,ULM Warhawks,Keyton Wheelock,Women's Soccer,26,"Wiest, Cassidy",So,M,10,,,,,0.00,3,3,,1,,,,,0,,,,,,,,,,,,
2019-20,UIC Flames,Tom Anagnost,Women's Soccer,24,"Rasmussen, Autum",Sr,,19,,,1,,2.00,21,13,,1,,,,,0,,,,,,,,,,,,1
