year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,Villanova Wildcats,Chris McLain,Women's Soccer,27,"Ruiz, Jasmine",Jr,,2,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,19,"Allen, Madi",So,M,16,,16,1,,2.00,11,8,,1,,,,,,,,,,,,,,,,,1
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,19,"Allen, Madi",So,M,16,,16,1,,2.00,11,8,,1,,,,,,,,,,,,,,,,,1
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,4,"Garza, Taylor",Jr,,19,,,,,0.00,6,2,,4,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,4,"Garza, Taylor",Jr,,19,,,,,0.00,6,2,,4,,,,,,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,21,"Bybee, Jocely",Fr,F,20,,,5,3.00,13.00,17,13,,,,,,,0,,,,,,,,,,,,1
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,21,"Bybee, Jocely",Fr,F,20,,,5,3.00,13.00,17,13,,,,,,,0,,,,,,,,,,,,1
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,23,"Walters, Sarita",Jr,D,17,,,,,0.00,,2,,1,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,23,"Walters, Sarita",Jr,D,17,,,,,0.00,,2,,1,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,15,"Browne, Tori",Jr,D,17,,,,1.00,1.00,12,10,,2,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,15,"Browne, Tori",Jr,D,17,,,,1.00,1.00,12,10,,2,,,,,0,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,19,"Engler, Emily",So,,7,,,,,0.00,2,2,,,,,,,0,,,,,,,,,,,,
